"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"yclM",7492.23008969573,2.4289525869005,0.0819428069009605,29.6420476520439,4.29438485619066e-193,3.14790229366636e-192
"xerS_1",1463.55218891908,2.35244505745813,0.077663914717217,30.2900654187166,1.54940973288474e-201,1.17902702530944e-200
"licA_1",17.1412735031165,2.35131741614268,0.569817438978875,4.12643990039387,3.68422227787417e-05,5.05789278354204e-05
"spxA_3",26897.6120111443,2.34412739755759,0.0598828763312425,39.1452037906635,0,0
"ctc",10036.4826315701,2.34007246718983,0.0709071055149933,33.0019459995447,7.61670146841789e-239,6.68763128930318e-238
"yjhB_1",619.550349952099,2.31252890318537,0.106076888718888,21.8004970839007,2.29511038068596e-105,1.06306851835831e-104
"nlhH",7501.6833719163,2.30940462016669,0.0770307846151632,29.9802816718563,1.77389558178569e-197,1.31845820450862e-196
"lacF_1",238.234589404813,2.29722655188745,0.165000225956632,13.922566096917,4.62013694115398e-44,1.22032707966348e-43
"rpoN1",2881.95330357951,2.29182017659742,0.0733003129505724,31.2661717848713,1.34596661799898e-214,1.05434051743253e-213
"appA",54095.278917254,2.27868403414639,0.050571264610199,45.0588699276236,0,0
"yhdN",7624.05973696388,2.20890010592067,0.070303475354552,31.4195008821516,1.0959611230633e-216,8.75672937327576e-216
"nagE",27.9005405691492,2.20849058394091,0.447745071921575,4.93247323630564,8.11949076927275e-07,1.1806138534393e-06
"licT_1",3823.5621626216,2.20346344322517,0.094044164984036,23.4300920593979,2.10973719633106e-121,1.09459741549904e-120
"fra",439.447411951371,2.17998375841215,0.124756866175454,17.4738579546099,2.26638134298109e-68,7.8391285413069e-68
"mazE",10674.463457003,2.1374442522613,0.0847583594875889,25.2180937099695,2.53671118204054e-140,1.48485877981714e-139
"yheI",3642.65177910097,2.13141052342115,0.0582196937963036,36.609785872087,1.99844581952953e-293,2.18734001343026e-292
